Person ID,Age,Gender,Undergraduate Major,Undergraduate GPA,Years of Work Experience,Current Job Title,Annual Salary (Before MBA),Has Management Experience,GRE/GMAT Score,Undergrad University Ranking,Entrepreneurial Interest,Networking Importance,MBA Funding Source,Desired Post-MBA Role,Expected Post-MBA Salary,Location Preference (Post-MBA),Reason for MBA,Online vs. On-Campus MBA,Decided to Pursue MBA?
2166,31,Other,Business,3.51,8,Entrepreneur,114486,Yes,763,124,8.2,1.7,Scholarship,Executive,139387,International,Skill Enhancement,Online,No
2167,21,Male,Engineering,3.1,3,Engineer,41432,No,718,210,4.5,7.0,Self-funded,Executive,125674,International,Entrepreneurship,Online,No
2168,30,Male,Business,2.54,2,Entrepreneur,80825,No,327,77,7.0,4.1,Employer,Executive,196272,Domestic,Career Growth,Online,Yes
2169,32,Male,Arts,2.99,9,Analyst,56560,No,718,217,8.9,5.1,Employer,Consultant,114745,International,Career Growth,Online,No
2170,26,Male,Arts,3.39,5,Manager,50537,Yes,528,21,3.0,3.9,Self-funded,Startup Founder,127967,International,Entrepreneurship,Online,No
2171,22,Female,Science,2.02,7,Manager,58343,No,567,335,5.2,7.7,Employer,Consultant,148786,Domestic,Networking,Online,Yes
2172,33,Male,Science,3.27,7,Entrepreneur,46125,Yes,361,169,5.4,7.1,Loan,Marketing Director,77772,International,Skill Enhancement,On-Campus,Yes
2173,23,Female,Arts,3.08,9,Entrepreneur,96193,No,577,297,6.1,7.0,Self-funded,Marketing Director,191308,International,Networking,On-Campus,Yes
2174,21,Female,Arts,2.44,5,Consultant,94960,Yes,308,10,9.3,7.9,Self-funded,Startup Founder,141242,International,Networking,On-Campus,No
2175,29,Female,Engineering,3.51,4,Engineer,82408,Yes,474,117,9.8,6.2,Loan,Executive,151599,Domestic,Career Growth,On-Campus,Yes
2176,28,Female,Business,2.61,6,Consultant,115974,Yes,631,483,8.2,1.9,Scholarship,Finance Manager,114626,International,Career Growth,On-Campus,Yes
2177,32,Female,Science,2.55,2,Consultant,56086,No,584,388,1.3,4.8,Scholarship,Marketing Director,131550,International,Entrepreneurship,Online,No
2178,22,Male,Engineering,2.94,9,Manager,61184,No,554,197,2.1,3.9,Scholarship,Consultant,86482,International,Skill Enhancement,Online,Yes
2179,32,Female,Business,3.35,1,Manager,85485,Yes,380,172,2.1,4.1,Employer,Startup Founder,88200,International,Entrepreneurship,Online,No
2180,31,Male,Science,3.86,7,Analyst,39577,Yes,451,187,5.8,2.8,Employer,Marketing Director,116400,Domestic,Skill Enhancement,Online,No
2181,28,Male,Engineering,2.28,8,Consultant,61085,No,523,166,1.4,2.4,Self-funded,Finance Manager,172758,Domestic,Networking,Online,No
2182,32,Male,Economics,2.79,5,Analyst,96307,No,482,230,5.6,5.2,Loan,Startup Founder,107208,Domestic,Networking,On-Campus,Yes
2183,34,Female,Economics,2.13,3,Entrepreneur,48958,No,693,280,7.8,9.7,Employer,Consultant,93583,Domestic,Skill Enhancement,On-Campus,Yes
2184,29,Female,Science,3.52,5,Analyst,81348,Yes,472,152,3.7,1.2,Self-funded,Startup Founder,86597,International,Career Growth,Online,No
2185,21,Male,Engineering,2.9,6,Manager,93636,No,599,232,5.2,3.5,Loan,Finance Manager,64879,Domestic,Entrepreneurship,Online,Yes
2186,33,Female,Business,3.41,7,Consultant,93738,Yes,478,275,1.9,9.7,Loan,Finance Manager,70980,Domestic,Networking,On-Campus,No
2187,25,Male,Business,2.64,2,Manager,77538,Yes,261,340,1.6,4.2,Scholarship,Startup Founder,120295,International,Career Growth,On-Campus,No
2188,28,Male,Engineering,3.69,5,Entrepreneur,70701,Yes,778,116,5.8,6.9,Scholarship,Consultant,170521,Domestic,Entrepreneurship,Online,Yes
2189,31,Male,Economics,3.07,9,Engineer,69125,No,468,476,1.1,3.4,Loan,Executive,191608,Domestic,Networking,On-Campus,No
2190,34,Male,Engineering,3.89,5,Consultant,116635,No,554,427,7.3,5.9,Self-funded,Marketing Director,81579,International,Skill Enhancement,Online,No
2191,22,Male,Economics,2.16,9,Manager,113917,Yes,788,75,2.3,2.6,Employer,Finance Manager,118847,International,Career Growth,Online,No
2192,24,Female,Economics,3.03,6,Engineer,64850,No,495,379,9.0,5.8,Loan,Marketing Director,170388,Domestic,Networking,Online,Yes
2193,27,Female,Business,3.53,3,Entrepreneur,57004,Yes,432,87,8.7,5.3,Employer,Consultant,185703,International,Networking,On-Campus,No
2194,23,Male,Science,3.2,5,Engineer,38963,Yes,738,79,3.0,8.5,Loan,Finance Manager,116019,International,Career Growth,On-Campus,Yes
2195,33,Male,Arts,2.05,1,Manager,69131,No,646,85,3.1,8.2,Scholarship,Finance Manager,181359,Domestic,Skill Enhancement,On-Campus,No
2196,32,Female,Engineering,3.94,7,Manager,96699,No,764,100,1.3,2.6,Employer,Startup Founder,126516,Domestic,Entrepreneurship,On-Campus,Yes
2197,25,Female,Economics,2.6,2,Entrepreneur,102477,No,465,127,9.9,9.5,Scholarship,Startup Founder,198989,International,Networking,On-Campus,Yes
2198,28,Male,Engineering,2.5,8,Entrepreneur,118328,No,473,397,1.5,4.5,Employer,Startup Founder,83035,International,Networking,On-Campus,Yes
2199,32,Male,Science,2.97,7,Engineer,100418,No,350,32,5.3,1.5,Self-funded,Marketing Director,98601,Domestic,Skill Enhancement,Online,No
2200,30,Female,Science,3.08,5,Engineer,111821,Yes,604,266,8.6,1.7,Employer,Marketing Director,186506,International,Skill Enhancement,On-Campus,Yes
2201,23,Female,Arts,3.53,9,Manager,100592,Yes,779,315,2.4,4.8,Scholarship,Marketing Director,86135,Domestic,Networking,Online,Yes
2202,24,Male,Arts,2.79,1,Entrepreneur,33693,Yes,431,302,7.9,9.0,Employer,Startup Founder,62350,International,Career Growth,On-Campus,No
2203,34,Male,Economics,2.88,7,Analyst,117596,No,735,101,2.5,2.4,Loan,Executive,147353,International,Skill Enhancement,Online,Yes
2204,29,Female,Arts,3.07,5,Entrepreneur,96308,No,569,379,3.7,5.3,Self-funded,Startup Founder,96906,International,Networking,Online,No
2205,34,Male,Economics,2.79,0,Consultant,30723,Yes,286,288,3.3,5.8,Self-funded,Executive,91990,International,Networking,On-Campus,Yes
2206,34,Other,Business,3.83,5,Consultant,47602,No,360,433,1.4,9.0,Self-funded,Executive,195690,Domestic,Networking,On-Campus,Yes
2207,27,Male,Economics,3.7,4,Entrepreneur,59302,No,455,84,2.1,1.1,Self-funded,Finance Manager,184237,International,Entrepreneurship,Online,Yes
2208,21,Female,Arts,2.91,5,Engineer,43354,No,761,295,7.1,9.0,Scholarship,Marketing Director,80924,Domestic,Skill Enhancement,On-Campus,Yes
2209,34,Male,Engineering,2.0,0,Consultant,59651,No,610,495,1.8,3.4,Scholarship,Finance Manager,172646,International,Networking,Online,Yes
2210,32,Male,Arts,3.8,3,Manager,76375,Yes,593,179,9.8,8.8,Self-funded,Consultant,161643,International,Skill Enhancement,On-Campus,No
2211,24,Female,Science,2.25,6,Manager,93924,No,602,144,3.3,4.8,Scholarship,Executive,193584,International,Networking,On-Campus,No
2212,24,Male,Arts,2.49,4,Manager,39923,Yes,790,295,2.0,3.9,Scholarship,Startup Founder,140908,Domestic,Entrepreneurship,On-Campus,Yes
2213,29,Female,Business,2.3,5,Entrepreneur,105380,No,622,316,4.4,9.9,Employer,Marketing Director,164057,International,Skill Enhancement,On-Campus,No
2214,26,Male,Economics,2.36,1,Consultant,76755,No,703,389,3.5,8.0,Employer,Executive,185489,International,Skill Enhancement,Online,Yes
2215,29,Male,Science,3.61,7,Engineer,103511,No,395,337,1.7,5.4,Scholarship,Startup Founder,190774,Domestic,Networking,Online,Yes
2216,32,Male,Economics,3.16,9,Manager,106924,Yes,622,228,6.9,4.4,Employer,Executive,87641,Domestic,Skill Enhancement,Online,No
2217,26,Female,Economics,3.91,3,Engineer,103572,No,291,192,8.0,3.9,Loan,Startup Founder,73320,International,Networking,On-Campus,No
2218,26,Male,Arts,2.46,5,Manager,43088,No,557,176,1.0,7.2,Employer,Executive,190622,International,Entrepreneurship,On-Campus,Yes
2219,25,Male,Engineering,2.97,2,Entrepreneur,87514,No,669,26,6.1,4.8,Loan,Consultant,179491,Domestic,Networking,On-Campus,Yes
2220,25,Male,Science,3.95,8,Manager,91749,No,472,51,6.8,6.8,Self-funded,Startup Founder,141927,International,Networking,On-Campus,Yes
2221,22,Female,Business,3.65,7,Entrepreneur,70648,Yes,457,324,9.9,4.7,Scholarship,Startup Founder,90251,Domestic,Entrepreneurship,On-Campus,No
2222,28,Female,Business,3.46,5,Consultant,53506,Yes,376,102,6.9,4.3,Self-funded,Startup Founder,139637,Domestic,Networking,Online,No
2223,28,Male,Engineering,2.38,8,Consultant,32399,No,251,110,3.7,4.0,Self-funded,Consultant,155980,Domestic,Networking,Online,Yes
2224,31,Male,Engineering,3.54,9,Engineer,116875,No,609,154,7.0,9.3,Loan,Marketing Director,120357,Domestic,Skill Enhancement,Online,No
2225,33,Female,Arts,2.7,8,Manager,62091,Yes,266,20,3.5,7.9,Employer,Startup Founder,87592,International,Skill Enhancement,On-Campus,Yes
2226,21,Male,Business,3.06,1,Consultant,47758,Yes,431,205,2.3,6.9,Scholarship,Startup Founder,158603,International,Entrepreneurship,On-Campus,Yes
2227,28,Female,Science,3.22,8,Analyst,88339,No,633,494,7.7,7.0,Employer,Finance Manager,160622,International,Networking,On-Campus,Yes
2228,25,Female,Engineering,3.22,7,Analyst,61913,No,476,71,5.4,2.6,Scholarship,Consultant,69380,International,Entrepreneurship,Online,Yes
2229,22,Female,Engineering,3.45,1,Engineer,107024,Yes,358,152,9.6,9.4,Employer,Finance Manager,128081,International,Skill Enhancement,On-Campus,No
2230,34,Male,Engineering,3.32,8,Consultant,89153,No,399,67,1.6,2.0,Loan,Executive,122228,International,Networking,Online,Yes
2231,22,Female,Science,2.14,4,Entrepreneur,117404,No,677,195,5.3,3.0,Employer,Consultant,142280,International,Entrepreneurship,On-Campus,Yes
2232,34,Female,Business,2.91,8,Analyst,115440,No,613,306,3.3,1.2,Loan,Marketing Director,81575,Domestic,Skill Enhancement,Online,No
2233,26,Female,Science,3.33,2,Consultant,61791,No,403,374,5.5,4.3,Self-funded,Marketing Director,130199,International,Career Growth,On-Campus,Yes
2234,31,Male,Science,2.59,3,Entrepreneur,115342,Yes,259,16,1.4,3.8,Scholarship,Consultant,172604,Domestic,Networking,On-Campus,Yes
2235,33,Male,Arts,2.63,0,Manager,65923,No,251,223,1.4,8.6,Employer,Startup Founder,86587,Domestic,Entrepreneurship,On-Campus,Yes
2236,29,Male,Engineering,2.25,4,Consultant,81875,No,790,161,5.8,7.0,Employer,Consultant,70568,International,Career Growth,On-Campus,Yes
2237,21,Female,Business,2.84,6,Manager,56576,Yes,720,206,4.2,8.1,Employer,Executive,98280,International,Networking,Online,No
2238,32,Female,Arts,3.97,6,Analyst,83420,No,630,178,1.2,2.3,Scholarship,Executive,121989,Domestic,Skill Enhancement,Online,No
2239,26,Male,Arts,2.57,5,Manager,101561,No,338,372,6.5,6.1,Scholarship,Consultant,90083,Domestic,Entrepreneurship,On-Campus,Yes
2240,29,Male,Economics,3.06,5,Analyst,101597,Yes,759,496,5.0,5.4,Scholarship,Startup Founder,119872,International,Networking,Online,Yes
2241,28,Male,Engineering,3.49,7,Engineer,34240,Yes,484,89,9.8,4.8,Loan,Marketing Director,98455,Domestic,Entrepreneurship,On-Campus,Yes
2242,31,Female,Business,2.03,9,Engineer,44880,Yes,463,375,8.5,9.9,Employer,Marketing Director,108683,International,Networking,Online,No
2243,26,Female,Business,3.8,8,Analyst,56944,No,588,115,7.6,5.0,Scholarship,Finance Manager,78779,International,Networking,On-Campus,No
2244,23,Male,Business,2.77,3,Entrepreneur,85421,Yes,464,386,5.3,2.0,Self-funded,Consultant,116529,International,Career Growth,Online,Yes
2245,28,Male,Engineering,3.74,3,Engineer,106687,Yes,758,59,5.4,1.3,Employer,Startup Founder,163235,International,Networking,On-Campus,Yes
2246,29,Male,Business,2.08,7,Entrepreneur,62712,No,672,297,9.5,8.2,Scholarship,Executive,127382,International,Entrepreneurship,Online,Yes
2247,21,Female,Science,2.29,4,Entrepreneur,98258,No,704,461,7.6,1.1,Scholarship,Consultant,183619,International,Networking,Online,Yes
2248,32,Female,Science,2.65,9,Entrepreneur,54017,Yes,695,191,1.8,9.3,Self-funded,Finance Manager,81831,Domestic,Networking,Online,Yes
2249,29,Female,Engineering,2.69,8,Consultant,90544,No,502,466,4.9,2.9,Scholarship,Startup Founder,166829,Domestic,Career Growth,Online,Yes
2250,34,Male,Business,3.7,5,Consultant,104410,No,408,318,4.8,8.9,Employer,Marketing Director,125216,Domestic,Entrepreneurship,On-Campus,Yes
2251,26,Other,Economics,2.02,8,Entrepreneur,58484,Yes,384,84,2.0,8.1,Loan,Startup Founder,101993,Domestic,Skill Enhancement,On-Campus,No
2252,26,Male,Economics,3.28,3,Analyst,47893,No,376,130,8.6,2.9,Self-funded,Startup Founder,130284,International,Career Growth,Online,No
2253,32,Female,Economics,2.26,0,Engineer,70703,No,534,263,3.5,8.5,Loan,Marketing Director,158292,Domestic,Entrepreneurship,Online,Yes
2254,24,Male,Science,3.65,3,Manager,65031,No,300,126,4.4,3.9,Employer,Startup Founder,149798,International,Career Growth,Online,Yes
2255,21,Female,Economics,3.56,8,Consultant,69654,Yes,489,374,9.8,2.9,Scholarship,Marketing Director,108230,Domestic,Career Growth,Online,No
2256,30,Female,Business,3.0,6,Consultant,32284,Yes,328,205,7.1,2.9,Scholarship,Executive,127156,Domestic,Networking,Online,No
2257,28,Female,Business,2.43,5,Manager,73103,Yes,428,136,8.3,8.9,Loan,Startup Founder,68718,Domestic,Skill Enhancement,Online,No
2258,22,Female,Economics,3.27,1,Entrepreneur,111078,Yes,263,259,1.9,1.1,Scholarship,Executive,177589,Domestic,Career Growth,On-Campus,No
2259,32,Male,Arts,2.31,3,Manager,49343,No,343,398,5.9,7.7,Employer,Consultant,199447,Domestic,Entrepreneurship,On-Campus,Yes
2260,21,Male,Economics,2.38,0,Entrepreneur,66034,No,272,343,7.4,8.2,Self-funded,Consultant,123287,Domestic,Career Growth,Online,Yes
2261,22,Female,Arts,3.25,2,Consultant,82670,Yes,329,328,8.3,4.3,Loan,Marketing Director,147123,Domestic,Skill Enhancement,Online,No
2262,21,Male,Engineering,3.98,1,Manager,36215,No,593,33,9.0,7.4,Loan,Marketing Director,171890,International,Career Growth,On-Campus,Yes
2263,21,Male,Engineering,3.78,3,Analyst,48399,No,654,248,1.8,9.1,Employer,Finance Manager,62802,International,Networking,Online,Yes
2264,29,Male,Business,3.19,3,Engineer,71877,No,356,155,7.7,5.9,Employer,Startup Founder,152294,Domestic,Networking,Online,Yes
2265,33,Female,Science,3.08,8,Engineer,39143,No,709,267,1.9,6.9,Self-funded,Consultant,123419,International,Entrepreneurship,On-Campus,No
2266,34,Male,Business,4.0,6,Engineer,93539,No,614,353,4.6,7.3,Employer,Startup Founder,94857,International,Career Growth,On-Campus,Yes
2267,21,Male,Business,3.09,2,Manager,54047,Yes,673,267,5.0,9.7,Loan,Executive,121217,International,Skill Enhancement,On-Campus,Yes
2268,33,Male,Science,2.84,6,Entrepreneur,103882,No,343,486,3.6,4.8,Employer,Finance Manager,97952,International,Skill Enhancement,Online,No
2269,24,Male,Business,3.82,7,Consultant,91759,No,351,363,8.8,6.0,Loan,Finance Manager,118882,International,Career Growth,Online,No
2270,30,Female,Science,2.47,6,Engineer,87644,Yes,783,274,6.3,5.2,Loan,Executive,175189,Domestic,Entrepreneurship,Online,No
2271,26,Other,Business,2.2,7,Manager,87538,Yes,635,92,2.3,3.8,Scholarship,Consultant,69633,International,Career Growth,On-Campus,Yes
2272,27,Female,Engineering,3.27,8,Engineer,78354,Yes,464,489,4.4,9.5,Employer,Finance Manager,61504,International,Networking,On-Campus,No
2273,22,Male,Arts,2.19,0,Entrepreneur,37564,Yes,719,346,1.7,5.4,Scholarship,Executive,184027,Domestic,Networking,Online,No
2274,26,Female,Business,2.75,9,Analyst,43133,No,439,350,5.5,9.4,Employer,Marketing Director,195178,International,Entrepreneurship,Online,No
2275,27,Female,Arts,2.85,5,Analyst,94285,No,791,365,4.2,9.9,Loan,Executive,189050,International,Networking,Online,Yes
2276,30,Male,Economics,3.1,3,Consultant,33044,Yes,404,74,3.9,8.7,Employer,Consultant,127496,Domestic,Entrepreneurship,On-Campus,No
2277,34,Female,Business,3.98,0,Analyst,37087,No,708,170,8.6,2.5,Scholarship,Startup Founder,126999,International,Career Growth,Online,Yes
2278,30,Female,Engineering,2.44,1,Analyst,64056,Yes,286,259,8.6,1.3,Self-funded,Executive,146926,Domestic,Career Growth,On-Campus,No
2279,22,Female,Science,2.75,9,Manager,49631,Yes,575,288,7.1,5.9,Employer,Executive,148584,Domestic,Skill Enhancement,Online,Yes
2280,22,Female,Engineering,2.26,3,Manager,113295,Yes,777,36,9.3,5.8,Loan,Finance Manager,89822,International,Career Growth,On-Campus,Yes
2281,30,Male,Arts,3.22,0,Consultant,119411,Yes,373,394,6.9,6.4,Self-funded,Startup Founder,187314,International,Skill Enhancement,On-Campus,No
2282,27,Male,Science,3.46,5,Consultant,50357,Yes,269,213,6.6,1.5,Loan,Marketing Director,78910,Domestic,Networking,Online,No
2283,32,Female,Engineering,2.96,0,Manager,100130,No,478,371,1.8,3.6,Self-funded,Startup Founder,98369,Domestic,Networking,Online,No
2284,21,Male,Engineering,2.49,8,Analyst,57840,Yes,628,55,1.1,5.5,Employer,Startup Founder,142533,Domestic,Entrepreneurship,On-Campus,No
2285,28,Male,Engineering,3.24,9,Entrepreneur,77960,No,579,498,2.9,5.6,Employer,Startup Founder,192379,Domestic,Networking,On-Campus,Yes
2286,31,Female,Science,3.08,2,Analyst,30999,Yes,658,455,8.1,9.5,Employer,Executive,117651,International,Skill Enhancement,On-Campus,No
2287,33,Female,Engineering,2.34,0,Analyst,36338,No,564,117,9.4,9.7,Loan,Executive,180732,International,Skill Enhancement,Online,Yes
2288,23,Male,Engineering,2.81,5,Entrepreneur,113962,No,467,25,3.1,9.0,Self-funded,Executive,111881,Domestic,Skill Enhancement,Online,Yes
2289,31,Female,Arts,2.87,5,Consultant,63812,Yes,713,446,2.5,3.3,Scholarship,Startup Founder,144626,International,Career Growth,Online,Yes
2290,26,Female,Engineering,3.97,6,Manager,34893,No,643,418,8.5,6.8,Loan,Executive,158436,Domestic,Career Growth,On-Campus,Yes
2291,29,Female,Engineering,3.7,6,Consultant,117608,No,394,153,4.4,3.5,Loan,Executive,171162,International,Entrepreneurship,Online,No
2292,26,Male,Economics,3.47,9,Consultant,39270,Yes,278,457,9.8,9.6,Loan,Startup Founder,162054,International,Networking,Online,No
2293,29,Male,Science,3.78,3,Consultant,43313,Yes,487,8,9.6,5.6,Scholarship,Marketing Director,185442,International,Entrepreneurship,On-Campus,No
2294,27,Male,Economics,3.47,4,Manager,83551,No,535,53,4.0,8.5,Self-funded,Executive,143910,Domestic,Skill Enhancement,Online,No
2295,29,Male,Arts,3.81,2,Consultant,56133,Yes,438,483,6.0,4.5,Loan,Finance Manager,191838,Domestic,Skill Enhancement,Online,Yes
2296,22,Male,Economics,2.11,5,Consultant,100796,Yes,453,236,7.1,4.4,Employer,Finance Manager,171653,Domestic,Career Growth,On-Campus,Yes
2297,32,Male,Business,2.91,6,Engineer,98463,No,411,476,6.8,1.3,Self-funded,Finance Manager,197881,International,Entrepreneurship,Online,Yes
2298,28,Male,Science,3.49,8,Analyst,31834,No,583,10,9.8,5.1,Loan,Startup Founder,94849,Domestic,Entrepreneurship,On-Campus,No
2299,28,Female,Engineering,3.17,8,Engineer,70522,Yes,401,78,4.2,6.8,Employer,Marketing Director,137014,International,Entrepreneurship,Online,Yes
2300,22,Male,Economics,2.35,4,Manager,59679,No,500,349,7.5,2.2,Self-funded,Marketing Director,111219,Domestic,Career Growth,On-Campus,Yes
2301,32,Female,Economics,2.68,3,Entrepreneur,44921,No,786,129,6.2,2.7,Loan,Executive,156893,International,Skill Enhancement,On-Campus,Yes
2302,34,Female,Engineering,2.64,6,Entrepreneur,50784,Yes,594,186,5.7,9.7,Employer,Marketing Director,195105,International,Career Growth,Online,Yes
2303,24,Male,Engineering,2.52,2,Engineer,82971,No,354,403,2.3,7.6,Scholarship,Startup Founder,167578,Domestic,Entrepreneurship,On-Campus,Yes
2304,34,Female,Arts,2.69,3,Engineer,43476,Yes,530,462,7.8,9.2,Employer,Executive,181697,International,Skill Enhancement,Online,Yes
2305,31,Female,Economics,3.03,8,Engineer,102920,No,407,276,4.6,5.3,Scholarship,Startup Founder,143506,International,Skill Enhancement,On-Campus,No
2306,27,Male,Economics,3.71,4,Analyst,76443,Yes,481,486,2.2,2.6,Self-funded,Finance Manager,63586,International,Networking,Online,Yes
2307,31,Female,Business,3.48,9,Manager,111698,Yes,672,304,1.1,2.5,Self-funded,Startup Founder,166258,International,Entrepreneurship,On-Campus,Yes
2308,24,Male,Business,3.67,6,Consultant,61250,No,454,484,2.3,5.9,Self-funded,Finance Manager,153976,International,Skill Enhancement,On-Campus,Yes
2309,24,Female,Economics,3.77,1,Engineer,34379,No,777,233,7.2,7.4,Scholarship,Consultant,147445,International,Entrepreneurship,Online,No
2310,26,Male,Business,2.83,8,Analyst,73003,Yes,425,72,7.7,9.2,Scholarship,Startup Founder,65971,International,Entrepreneurship,On-Campus,No
2311,30,Female,Economics,2.69,4,Entrepreneur,86681,No,401,254,1.4,4.7,Employer,Finance Manager,70778,International,Career Growth,Online,Yes
2312,26,Male,Science,2.12,4,Entrepreneur,86687,No,379,314,2.4,3.9,Loan,Marketing Director,135586,Domestic,Networking,On-Campus,No
2313,30,Female,Arts,3.86,3,Entrepreneur,87784,No,726,294,10.0,9.4,Scholarship,Executive,182834,International,Networking,Online,Yes
2314,23,Male,Business,2.13,7,Engineer,99490,No,288,170,4.7,5.1,Self-funded,Consultant,148959,Domestic,Networking,Online,Yes
2315,29,Female,Economics,3.48,3,Entrepreneur,88812,No,608,252,9.1,5.7,Scholarship,Finance Manager,172704,International,Skill Enhancement,Online,Yes
2316,32,Female,Business,2.76,1,Entrepreneur,97498,No,458,344,4.7,5.0,Loan,Executive,81749,Domestic,Entrepreneurship,On-Campus,Yes
2317,30,Male,Arts,3.9,4,Entrepreneur,115368,No,692,7,5.8,7.9,Employer,Consultant,85980,International,Entrepreneurship,Online,No
2318,34,Female,Science,2.84,2,Consultant,66335,No,773,491,8.9,1.6,Loan,Finance Manager,80337,Domestic,Skill Enhancement,Online,No
2319,31,Male,Engineering,3.63,3,Entrepreneur,77291,No,326,453,9.9,8.5,Self-funded,Startup Founder,87672,International,Entrepreneurship,Online,Yes
2320,22,Female,Engineering,2.57,2,Analyst,114814,No,392,206,1.6,4.5,Self-funded,Marketing Director,169717,International,Career Growth,Online,Yes
2321,26,Male,Business,2.6,6,Engineer,107663,No,750,457,6.7,9.7,Scholarship,Marketing Director,101097,Domestic,Career Growth,Online,No
2322,32,Female,Economics,3.19,5,Consultant,65778,Yes,309,20,5.2,3.7,Self-funded,Startup Founder,94124,Domestic,Career Growth,On-Campus,No
2323,27,Female,Arts,4.0,1,Consultant,33863,Yes,569,436,5.9,5.2,Scholarship,Marketing Director,96280,Domestic,Entrepreneurship,On-Campus,Yes
2324,32,Male,Science,3.04,7,Engineer,46073,No,413,26,2.8,4.8,Self-funded,Consultant,198010,International,Career Growth,On-Campus,Yes
2325,33,Male,Science,3.87,4,Entrepreneur,107183,No,464,89,9.0,8.2,Self-funded,Finance Manager,111654,Domestic,Career Growth,Online,Yes
2326,29,Male,Science,3.57,5,Entrepreneur,70093,No,518,340,3.6,7.0,Employer,Marketing Director,150421,International,Skill Enhancement,On-Campus,Yes
2327,33,Female,Engineering,3.59,7,Manager,79896,No,289,56,2.3,6.8,Self-funded,Consultant,76528,International,Entrepreneurship,On-Campus,Yes
2328,23,Male,Arts,2.87,6,Entrepreneur,86544,No,697,198,7.4,7.4,Loan,Finance Manager,89716,International,Career Growth,Online,Yes
2329,30,Female,Engineering,2.77,2,Analyst,96092,Yes,288,255,9.8,9.6,Self-funded,Marketing Director,108280,International,Career Growth,Online,Yes
2330,23,Female,Business,2.38,1,Entrepreneur,115720,No,422,455,3.2,5.3,Self-funded,Consultant,149752,Domestic,Entrepreneurship,Online,Yes
2331,27,Male,Science,3.93,2,Engineer,110870,Yes,411,228,5.2,6.9,Self-funded,Executive,137469,Domestic,Entrepreneurship,Online,Yes
2332,34,Female,Arts,3.92,7,Entrepreneur,100261,No,484,62,1.6,7.2,Employer,Executive,199899,International,Entrepreneurship,Online,Yes
2333,24,Male,Science,3.49,3,Engineer,97387,No,631,241,4.0,8.7,Self-funded,Startup Founder,186505,International,Career Growth,On-Campus,No
2334,33,Male,Engineering,2.59,7,Consultant,40611,No,266,384,8.3,3.6,Employer,Finance Manager,90127,International,Skill Enhancement,Online,No
2335,28,Female,Engineering,2.49,3,Manager,81508,Yes,362,446,8.9,8.3,Self-funded,Finance Manager,173807,Domestic,Skill Enhancement,On-Campus,Yes
2336,33,Male,Engineering,3.98,6,Consultant,92822,Yes,284,292,3.1,5.5,Scholarship,Startup Founder,94767,International,Entrepreneurship,Online,Yes
2337,27,Male,Science,2.13,5,Engineer,45819,Yes,453,276,5.9,1.1,Loan,Consultant,195514,Domestic,Career Growth,On-Campus,Yes
2338,25,Female,Arts,3.69,9,Manager,81035,No,412,494,8.1,2.4,Scholarship,Marketing Director,192930,Domestic,Career Growth,On-Campus,Yes
2339,27,Male,Arts,2.71,0,Consultant,62467,No,606,402,1.2,8.6,Scholarship,Startup Founder,115747,International,Networking,Online,Yes
2340,23,Other,Business,2.84,7,Entrepreneur,37454,No,511,456,2.9,3.4,Self-funded,Consultant,139199,Domestic,Skill Enhancement,On-Campus,No
2341,32,Other,Science,3.66,5,Entrepreneur,111042,Yes,685,27,1.3,3.7,Scholarship,Finance Manager,60910,Domestic,Entrepreneurship,On-Campus,Yes
2342,22,Male,Business,2.18,1,Manager,50227,No,323,389,2.1,7.6,Self-funded,Finance Manager,106462,Domestic,Entrepreneurship,On-Campus,No
2343,26,Male,Business,2.71,4,Consultant,101973,No,656,351,2.6,7.2,Scholarship,Marketing Director,189326,International,Entrepreneurship,On-Campus,No
2344,22,Female,Business,3.9,1,Analyst,58704,Yes,365,430,1.3,5.1,Scholarship,Finance Manager,61769,International,Career Growth,On-Campus,Yes
2345,23,Male,Business,3.4,9,Analyst,43159,No,420,297,4.9,7.6,Scholarship,Startup Founder,153715,Domestic,Career Growth,Online,Yes
2346,26,Male,Engineering,3.51,6,Analyst,79823,Yes,686,85,4.7,6.5,Self-funded,Consultant,64626,Domestic,Entrepreneurship,On-Campus,No
2347,25,Female,Business,3.52,9,Consultant,44303,No,700,52,3.6,2.6,Employer,Executive,88590,International,Networking,Online,No
2348,28,Male,Arts,2.12,5,Consultant,68860,No,443,387,3.9,3.5,Loan,Startup Founder,93334,Domestic,Career Growth,Online,Yes
2349,29,Female,Business,2.41,6,Consultant,104866,No,667,314,5.8,1.6,Loan,Finance Manager,196502,International,Skill Enhancement,On-Campus,No
2350,31,Male,Engineering,2.98,5,Engineer,87551,Yes,715,346,8.2,7.0,Loan,Executive,78372,Domestic,Skill Enhancement,Online,Yes
2351,23,Male,Economics,2.74,9,Analyst,30160,No,746,465,9.8,1.5,Loan,Startup Founder,167199,International,Entrepreneurship,Online,Yes
2352,32,Male,Economics,2.82,0,Analyst,74321,Yes,697,251,8.4,7.7,Self-funded,Consultant,70408,Domestic,Career Growth,On-Campus,No
2353,30,Other,Economics,3.56,2,Analyst,111714,No,437,478,4.5,5.8,Scholarship,Finance Manager,197205,Domestic,Entrepreneurship,Online,No
